patient_ID,RefSeq_accession_number,value
AO-A12D,NP_057427,0.490373274
AO-A12D,NP_002408,-0.625897588
AO-A12D,NP_000415,-3.056548818
AO-A12D,NP_000413,-3.11369579
AO-A12D,NP_000517,-2.629851423
AO-A12D,NP_004439,9.668177053
AO-A12D,NP_005219,0.402747916
AO-A12D,NP_058519,-3.026070432
AO-A12D,NP_058518,-2.938445075
AO-A12D,NP_001116539,-3.094646799
AO-A12D,NP_061155,2.631479843
AO-A12D,NP_001035932,0.421796907
AO-A12D,NP_077006,0.417987109
AO-A12D,NP_000917,-2.580324047
AO-A12D,NP_065178,0.231306999
AO-A12D,NP_006836,-0.218249185
AO-A12D,NP_006614,-2.03552291
AO-A12D,NP_001784,0.35322054
AO-A12D,NP_006092,0.078915072
AO-A12D,NP_001153651,-7.159701441
AO-A12D,NP_001159403,-0.161102212
AO-A12D,NP_000116,-3.395620854
AO-A12D,NP_004314,-1.227845699
AO-A12D,NP_060601,-0.317303937
AO-A12D,NP_005931,1.736177274
AO-A12D,NP_003003,-2.641280818
AO-A12D,NP_113611,1.233283916
AO-A12D,NP_002002,-3.307995497
AO-A12D,NP_004487,-0.770669919
AO-A12D,NP_008950,-2.229822616
AO-A12D,NP_114172,1.031364613
AO-A12D,NP_001062,-1.433574799
AO-A12D,NP_001444,-0.17408337
AO-A12D,NP_057547,-0.37982826000000003
AO-A12D,NP_054895,-0.1877708
AO-A12D,NP_001246,-0.465886066
AO-A12D,NP_055606,0.84087470499999994
AO-A12D,NP_036451,-1.677401882
AO-A12D,NP_000624,-3.544202983
AO-A12D,NP_001159,-1.989805332
C8-A131,NP_057427,0.764109274
C8-A131,NP_002408,1.743696459
C8-A131,NP_000415,0.65886437
C8-A131,NP_000413,2.496602311
C8-A131,NP_000517,1.172945248
C8-A131,NP_004439,0.197405944
C8-A131,NP_005219,1.245807104
C8-A131,NP_058519,-5.372478214
C8-A131,NP_058518,-5.522249808
C8-A131,NP_001116539,-5.461531594
C8-A131,NP_061155,2.419692574
C8-A131,NP_001035932,-1.223400262
C8-A131,NP_077006,-1.263879071
C8-A131,NP_000917,-1.514847689
C8-A131,NP_065178,2.290160384
C8-A131,NP_006836,2.456123502
C8-A131,NP_006614,2.585655692
C8-A131,NP_001784,1.921803219
C8-A131,NP_006092,1.326764723
C8-A131,NP_001153651,-6.947103895
C8-A131,NP_001159403,0.3552733
C8-A131,NP_000116,-2.251562018
C8-A131,NP_004314,-1.356980333
C8-A131,NP_060601,0.630529203
C8-A131,NP_005931,0.739821988
C8-A131,NP_003003,-0.102137245
C8-A131,NP_113611,0.48480549
C8-A131,NP_002002,1.537254531
C8-A131,NP_004487,-0.595978718
C8-A131,NP_008950,-0.235717316
C8-A131,NP_114172,1.322716842
C8-A131,NP_001062,5.492034198
C8-A131,NP_001444,-0.17408337
C8-A131,NP_057547,-0.37982826000000003
C8-A131,NP_054895,-0.053562674
C8-A131,NP_001246,2.298256146
C8-A131,NP_055606,0.901737225
C8-A131,NP_036451,-1.919635782
C8-A131,NP_000624,-2.312280232
C8-A131,NP_001159,0.865306297
AO-A12B,NP_057427,-1.108806815
AO-A12B,NP_002408,-1.507899053
AO-A12B,NP_000415,-4.121398918
AO-A12B,NP_000413,-3.916309851
AO-A12B,NP_000517,-4.528805578
AO-A12B,NP_004439,-1.49127021
AO-A12B,NP_005219,-2.386456272
AO-A12B,NP_058519,2.025730139
AO-A12B,NP_058518,2.017415717
AO-A12B,NP_001116539,2.050673404
AO-A12B,NP_061155,-1.992906981
AO-A12B,NP_001035932,0.299101914
AO-A12B,NP_077006,0.301873388
AO-A12B,NP_000917,3.829959632
AO-A12B,NP_065178,-0.31893676
AO-A12B,NP_006836,-1.610443586
AO-A12B,NP_006614,-1.125435658
AO-A12B,NP_001784,-1.818304127
AO-A12B,NP_006092,-1.560557057
AO-A12B,NP_001153651,-3.481188453
AO-A12B,NP_001159403,-0.524025827
AO-A12B,NP_000116,3.960218904
AO-A12B,NP_004314,3.048403999
AO-A12B,NP_060601,-0.055646742
AO-A12B,NP_005931,-2.275597317
AO-A12B,NP_003003,-2.588773865
AO-A12B,NP_113611,1.141629972
AO-A12B,NP_002002,-3.389729815
AO-A12B,NP_004487,1.607237584
AO-A12B,NP_008950,-1.635386851
AO-A12B,NP_114172,-2.646974816
AO-A12B,NP_001062,-0.305079391
AO-A12B,NP_001444,-0.17408337
AO-A12B,NP_057547,-0.37982826000000003
AO-A12B,NP_054895,-0.518482879
AO-A12B,NP_001246,-1.064463233
AO-A12B,NP_055606,0.213186224
AO-A12B,NP_036451,-0.360508868
AO-A12B,NP_000624,-1.643701273
AO-A12B,NP_001159,-2.256197
BH-A18Q,NP_057427,-0.179342115
BH-A18Q,NP_002408,-1.46396875
BH-A18Q,NP_000415,2.182497478
BH-A18Q,NP_000413,2.319658135
BH-A18Q,NP_000517,2.399947299
BH-A18Q,NP_004439,-5.187378761
BH-A18Q,NP_005219,-1.922286065
BH-A18Q,NP_058519,-7.70310592
BH-A18Q,NP_058518,-8.218294727
BH-A18Q,NP_001116539,-8.18818629
BH-A18Q,NP_061155,-1.233137402
BH-A18Q,NP_001035932,-4.10682042
BH-A18Q,NP_077006,-4.10682042
BH-A18Q,NP_000917,-6.719563653
BH-A18Q,NP_065178,0.516497312
BH-A18Q,NP_006836,0.181959126
BH-A18Q,NP_006614,1.352842777
BH-A18Q,NP_001784,1.52011187
BH-A18Q,NP_006092,0.014690033
BH-A18Q,NP_001153651,-4.233944931
BH-A18Q,NP_001159403,-1.156193619
BH-A18Q,NP_000116,-5.214141816
BH-A18Q,NP_004314,-1.159539001
BH-A18Q,NP_060601,-1.109358273
BH-A18Q,NP_005931,-0.132506769
BH-A18Q,NP_003003,7.418020091
BH-A18Q,NP_113611,-2.036029048
BH-A18Q,NP_002002,2.282858934
BH-A18Q,NP_004487,-5.548680002
BH-A18Q,NP_008950,-0.480426483
BH-A18Q,NP_114172,-0.590824084
BH-A18Q,NP_001062,1.219027502
BH-A18Q,NP_001444,0.760710188
BH-A18Q,NP_057547,-2.624816256
BH-A18Q,NP_054895,-0.717948595
BH-A18Q,NP_001246,0.539914985
BH-A18Q,NP_055606,0.001308505
BH-A18Q,NP_036451,-0.641004812
BH-A18Q,NP_000624,-0.627623285
BH-A18Q,NP_001159,-0.88856307
C8-A130,NP_057427,0.106156422
C8-A130,NP_002408,1.883845347
C8-A130,NP_000415,-2.639093819
C8-A130,NP_000413,-1.976560308
C8-A130,NP_000517,-1.579696176
C8-A130,NP_004439,-2.960520968
C8-A130,NP_005219,-2.422622474
C8-A130,NP_058519,1.15243459
C8-A130,NP_058518,1.149154721
C8-A130,NP_001116539,1.158994328
C8-A130,NP_061155,0.506300423
C8-A130,NP_001035932,-1.5665767
C8-A130,NP_077006,-1.5665767
C8-A130,NP_000917,-2.186471916
C8-A130,NP_065178,0.211112225
C8-A130,NP_006836,0.555498456
C8-A130,NP_006614,-0.389103777
C8-A130,NP_001784,-0.195591514
C8-A130,NP_006092,0.434143308
C8-A130,NP_001153651,-1.245149551
C8-A130,NP_001159403,0.040559044
C8-A130,NP_000116,-1.953601226
C8-A130,NP_004314,-1.68137211
C8-A130,NP_060601,1.427943575
C8-A130,NP_005931,1.286909214
C8-A130,NP_003003,-0.749889352
C8-A130,NP_113611,0.624375703
C8-A130,NP_002002,0.80476849
C8-A130,NP_004487,1.113076164
C8-A130,NP_008950,0.847406786
C8-A130,NP_114172,0.653894522
C8-A130,NP_001062,-0.152953219
C8-A130,NP_001444,-0.385823908
C8-A130,NP_057547,-2.350465359
C8-A130,NP_054895,1.923203774
C8-A130,NP_001246,-0.080796104
C8-A130,NP_055606,-0.592455647
C8-A130,NP_036451,-0.835165943
C8-A130,NP_000624,-2.540697753
C8-A130,NP_001159,-0.00535912
C8-A138,NP_057427,-0.409316137
C8-A138,NP_002408,0.739025561
C8-A138,NP_000415,0.943825354
C8-A138,NP_000413,1.415596307
C8-A138,NP_000517,1.806910197
C8-A138,NP_004439,-0.504401755
C8-A138,NP_005219,-2.625542471
C8-A138,NP_058519,-5.284282645
C8-A138,NP_058518,-4.907597311
C8-A138,NP_001116539,-5.309882619
C8-A138,NP_061155,1.272967879
C8-A138,NP_001035932,0.329425974
C8-A138,NP_077006,0.329425974
C8-A138,NP_000917,-3.207027599
C8-A138,NP_065178,0.52325435
C8-A138,NP_006836,-1.634457758
C8-A138,NP_006614,-1.440629382
C8-A138,NP_001784,1.232739348
C8-A138,NP_006092,0.014912006
C8-A138,NP_001153651,-1.510115026
C8-A138,NP_001159403,-0.668973018
C8-A138,NP_000116,-3.693427108
C8-A138,NP_004314,0.219711799
C8-A138,NP_060601,0.56714002
C8-A138,NP_005931,0.735368422
C8-A138,NP_003003,-3.748284195
C8-A138,NP_113611,-0.690915853
C8-A138,NP_002002,-0.105773586
C8-A138,NP_004487,0.618339969
C8-A138,NP_008950,-0.17891637
C8-A138,NP_114172,-0.610458791
C8-A138,NP_001062,-0.153316395
C8-A138,NP_001444,2.461538108
C8-A138,NP_057547,-0.248402014
C8-A138,NP_054895,-0.295944823
C8-A138,NP_001246,-2.307371364
C8-A138,NP_055606,4.641193051
C8-A138,NP_036451,-1.79902902
C8-A138,NP_000624,-0.623039476
C8-A138,NP_001159,-2.076971597
E2-A154,NP_057427,-2.742664249
E2-A154,NP_002408,-3.307172106
E2-A154,NP_000415,-5.903908247
E2-A154,NP_000413,-5.218972047
E2-A154,NP_000517,-4.650700805
E2-A154,NP_004439,-3.894260277
E2-A154,NP_005219,-3.284591791
E2-A154,NP_058519,2.861017076
E2-A154,NP_058518,3.098110376
E2-A154,NP_001116539,2.981445419
E2-A154,NP_061155,-2.061491435
E2-A154,NP_001035932,-0.710435964
E2-A154,NP_077006,-0.710435964
E2-A154,NP_000917,4.415295376
E2-A154,NP_065178,0.226647078
E2-A154,NP_006836,-2.622235906
E2-A154,NP_006614,-4.184040976
E2-A154,NP_001784,-1.21472965
E2-A154,NP_006092,-2.012567421
E2-A154,NP_001153651,6.989451203
E2-A154,NP_001159403,-1.579778064
E2-A154,NP_000116,1.735764749
E2-A154,NP_004314,3.327676905
E2-A154,NP_060601,-1.820634749
E2-A154,NP_005931,-0.243776136
E2-A154,NP_003003,-0.879788321
E2-A154,NP_113611,-4.522745691
E2-A154,NP_002002,1.223944292
E2-A154,NP_004487,1.235234449
E2-A154,NP_008950,-1.463113107
E2-A154,NP_114172,-3.860389805
E2-A154,NP_001062,-0.620114707
E2-A154,NP_001444,-6.615188146
E2-A154,NP_057547,-0.202378893
E2-A154,NP_054895,-2.772771334
E2-A154,NP_001246,-6.268956661
E2-A154,NP_055606,1.340609249
E2-A154,NP_036451,1.826086006
E2-A154,NP_000624,-0.623039476
E2-A154,NP_001159,0.395999435
C8-A12L,NP_057427,0.179349249
C8-A12L,NP_002408,-0.692468346
C8-A12L,NP_000415,1.60770449
C8-A12L,NP_000413,-0.07287471
C8-A12L,NP_000517,2.523387121
C8-A12L,NP_004439,0.039529446
C8-A12L,NP_005219,1.445952169
C8-A12L,NP_058519,-4.116682734
C8-A12L,NP_058518,-4.711602288
C8-A12L,NP_001116539,-4.68966977
C8-A12L,NP_061155,2.646757535
C8-A12L,NP_001035932,-1.775386427
C8-A12L,NP_077006,-1.772644862
C8-A12L,NP_000917,-4.821264878
C8-A12L,NP_065178,0.472696678
C8-A12L,NP_006836,0.135484212
C8-A12L,NP_006614,1.632378573
C8-A12L,NP_001784,2.282129422
C8-A12L,NP_006092,1.758490552
C8-A12L,NP_001153651,-3.302438
C8-A12L,NP_001159403,0.741370025
C8-A12L,NP_000116,-3.982346061
C8-A12L,NP_004314,-2.192104271
C8-A12L,NP_060601,0.955212077
C8-A12L,NP_005931,0.269820886
C8-A12L,NP_003003,-3.691740196
C8-A12L,NP_113611,1.149863175
C8-A12L,NP_002002,3.321182467
C8-A12L,NP_004487,-1.27642164
C8-A12L,NP_008950,1.876377837
C8-A12L,NP_114172,2.260196904
C8-A12L,NP_001062,0.113551694
C8-A12L,NP_001444,-0.17408337
C8-A12L,NP_057547,-2.326440944
C8-A12L,NP_054895,1.5446485
C8-A12L,NP_001246,0.557685186
C8-A12L,NP_055606,-0.226402336
C8-A12L,NP_036451,0.894897652
C8-A12L,NP_000624,-1.39705049
C8-A12L,NP_001159,-0.29768302
A2-A0EX,NP_057427,-2.506722746
A2-A0EX,NP_002408,-2.953194175
A2-A0EX,NP_000415,-0.803377966
A2-A0EX,NP_000413,-2.315377848
A2-A0EX,NP_000517,-0.098028145
A2-A0EX,NP_004439,-1.643794774
A2-A0EX,NP_005219,-1.212330788
A2-A0EX,NP_058519,4.186596829
A2-A0EX,NP_058518,3.976492628
A2-A0EX,NP_001116539,3.942725881
A2-A0EX,NP_061155,-2.521730189
A2-A0EX,NP_001035932,0.427232359
A2-A0EX,NP_077006,0.415976777
A2-A0EX,NP_000917,1.545286862
A2-A0EX,NP_065178,1.725376178
A2-A0EX,NP_006836,-1.812628508
A2-A0EX,NP_006614,-2.47670786
A2-A0EX,NP_001784,-0.92343751
A2-A0EX,NP_006092,-1.966454798
A2-A0EX,NP_001153651,-2.037740152
A2-A0EX,NP_001159403,-1.97395852
A2-A0EX,NP_000116,-2.409174367
A2-A0EX,NP_004314,0.115827917
A2-A0EX,NP_060601,-0.882167042
A2-A0EX,NP_005931,0.419728638
A2-A0EX,NP_003003,1.03128194
A2-A0EX,NP_113611,-1.666305938
A2-A0EX,NP_002002,-0.083020702
A2-A0EX,NP_004487,-0.281869322
A2-A0EX,NP_008950,-3.752340515
A2-A0EX,NP_114172,-3.317124668
A2-A0EX,NP_001062,-2.769352998
A2-A0EX,NP_001444,-0.17408337
A2-A0EX,NP_057547,-0.82213727
A2-A0EX,NP_054895,-2.938186732
A2-A0EX,NP_001246,-3.395913743
A2-A0EX,NP_055606,-1.827635951
A2-A0EX,NP_036451,0.082061171
A2-A0EX,NP_000624,0.044542563
A2-A0EX,NP_001159,-3.0469906940000002
AN-A04A,NP_057427,-1.010772607
AN-A04A,NP_002408,0.315314521
AN-A04A,NP_000415,2.403406937
AN-A04A,NP_000413,3.544765509
AN-A04A,NP_000517,3.290763746
AN-A04A,NP_004439,0.038221688
AN-A04A,NP_005219,-1.845349828
AN-A04A,NP_058519,1.928390653
AN-A04A,NP_058518,1.704077408
AN-A04A,NP_001116539,1.8393251
AN-A04A,NP_061155,-0.6281206
AN-A04A,NP_001035932,3.597545097
AN-A04A,NP_077006,3.597545097
AN-A04A,NP_000917,-4.128066973
AN-A04A,NP_065178,-0.357625216
AN-A04A,NP_006836,-1.129526678
AN-A04A,NP_006614,-1.644127652
AN-A04A,NP_001784,1.130099397
AN-A04A,NP_006092,0.608900974
AN-A04A,NP_001153651,2.789357668
AN-A04A,NP_001159403,-0.76996574
AN-A04A,NP_000116,-0.647912945
AN-A04A,NP_004314,0.021728067
AN-A04A,NP_060601,-0.700692532
AN-A04A,NP_005931,0.450562213
AN-A04A,NP_003003,-1.934415382
AN-A04A,NP_113611,-0.29824818
AN-A04A,NP_002002,0.8898123474999999
AN-A04A,NP_004487,-1.944311554
AN-A04A,NP_008950,-2.666732153
AN-A04A,NP_114172,-0.09372728
AN-A04A,NP_001062,-0.22919789299999999
AN-A04A,NP_001444,-0.17408337
AN-A04A,NP_057547,2.004261309
AN-A04A,NP_054895,-1.334047578
